app,keyCount,mouseCount,freq,year,month,day,hour
Clash for Windows,0,6,1.4416666666666664,2024,09,30,22
ApplicationFrameHost,0,132,1.7416666666666665,2024,09,30,22
StartMenuExperienceHost,0,2,0.5,2024,09,30,00
StartMenuExperienceHost,0,1,0.3333333333333333,2024,09,30,12
StartMenuExperienceHost,1,5,0.25,2024,09,30,19
SearchHost,0,1,0.3333333333333333,2024,09,30,12
SearchHost,0,1,0.25,2024,09,30,19
ShellExperienceHost,1,0,0.1666666666666666,2024,09,30,09
ShellExperienceHost,0,1,0.3333333333333333,2024,09,30,10
ShellExperienceHost,0,12,1.0333333333333332,2024,09,30,11
ShellExperienceHost,0,2,0.3666666666666667,2024,09,30,18
ShellExperienceHost,0,5,0.6666666666666666,2024,09,30,19
ShellExperienceHost,0,1,0.1666666666666666,2024,09,30,20
ShellExperienceHost,0,1,0.2,2024,09,30,21
explorer,0,4,0.3666666666666667,2024,09,30,09
explorer,0,9,1.45,2024,09,30,10
explorer,0,5,1.2833333333333332,2024,09,30,11
explorer,0,5,1.0333333333333332,2024,09,30,12
explorer,0,6,0.3928571428571428,2024,09,30,16
explorer,0,1,0.2,2024,09,30,17
explorer,0,53,3.0928571428571434,2024,09,30,18
explorer,5,60,4.417857142857143,2024,09,30,19
explorer,0,9,2.3666666666666663,2024,09,30,20
explorer,0,12,1.1095238095238094,2024,09,30,21
explorer,0,20,2.6250000000000004,2024,09,30,22
cloudmusic,0,1,0.2,2024,09,30,09
cloudmusic,0,2,0.5,2024,09,30,11
cloudmusic,0,1,0.1666666666666666,2024,09,30,12
cloudmusic,0,4,0.1428571428571428,2024,09,30,16
cloudmusic,1,6,0.5,2024,09,30,18
cloudmusic,0,2,0.3428571428571428,2024,09,30,19
cloudmusic,0,4,0.5333333333333333,2024,09,30,21
cloudmusic,0,6,0.1666666666666666,2024,09,30,22
MuMuPlayer,58,227,3.0,2024,09,30,09
MuMuPlayer,0,175,4.366666666666666,2024,09,30,10
